score,proximity_score,mean_member_km,nearest_home_m,housing_status,site_code,site_name,council,address,size_ha,site_type,development_potential,previous_use,lat,lon,km_from_glasgow_centre,km_from_glasgow_airport,km_from_cumbernauld_airport,in_airport_frz,map_url
8,2,18.0,4.6,violation,NL008491966,SITE OF FORMER KIRKWOOD SPORTS BARN AND PITCHES,North Lanarkshire,MITCHELL STREET KIRKWOOD COATBRIDGE,2.93,Derelict,Developable - Undetermined,Recreation & Leisure,55.849813,-4.068105,11.8,23.0,12.2,False,"https://www.google.com/maps/search/?api=1&query=55.849813,-4.068105"
8,2,19.2,2.3,violation,NL008502029,FORMER VIEWPARK GARDENS,North Lanarkshire,BAIRDS AVENUE VIEWPARK UDDINGSTON,2.18,Derelict,Developable - Undetermined,Recreation & Leisure,55.823252,-4.063566,12.6,23.7,14.8,False,"https://www.google.com/maps/search/?api=1&query=55.823252,-4.063566"
8,2,24.6,30.5,violation,8510560,DON DRIVE,Renfrewshire,DON DRIVE PAISLEY (FOXBAR),0.41,Vacant Land,Developable - Undetermined,Residential - Housing,55.830707,-4.467657,13.6,4.4,33.1,True,"https://www.google.com/maps/search/?api=1&query=55.830707,-4.467657"
8,2,22.4,0.1,violation,8455214,,South Lanarkshire,WELLHALL ROAD HAMILTON,1.22,Vacant Land,Developable - Medium Term,"Residential - Hotels, Hostels etc",55.771058,-4.071871,15.0,25.0,20.5,False,"https://www.google.com/maps/search/?api=1&query=55.771058,-4.071871"
8,1,27.1,12.5,violation,350788,NORTH ROAD,Renfrewshire,NORTH ROAD ( EAST ) JOHNSTONE,0.87,Vacant Land,Developable - Medium Term,Residential - Housing,55.831867,-4.514186,16.4,6.3,35.7,False,"https://www.google.com/maps/search/?api=1&query=55.831867,-4.514186"
8,2,20.9,14.2,violation,NL008491870,HOUSING SITE NLMK1151,North Lanarkshire,DYKEHEAD ROAD AIRDRIE,0.71,Vacant Land,Developable - Undetermined,Mineral Activity,55.877672,-3.988007,16.9,27.9,7.9,False,"https://www.google.com/maps/search/?api=1&query=55.877672,-3.988007"
8,1,26.5,6.3,violation,NL008501614,HOUSING SITE NLMW0235,North Lanarkshire,ENGLISH STREET CRAIGNEUK WISHAW,0.58,Vacant Land,Developable - Undetermined,Residential - Housing,55.777425,-3.952586,21.0,31.7,19.1,False,"https://www.google.com/maps/search/?api=1&query=55.777425,-3.952586"
7,3,13.3,1.3,violation,4132,FORMER HOSTEL,Glasgow City,22 KYLE STREET 92 DOBIES LOAN,0.64,Vacant Land,Developable - Medium Term,"Residential - Hotels, Hostels etc",55.867207,-4.246744,1.2,11.7,18.8,False,"https://www.google.com/maps/search/?api=1&query=55.867207,-4.246744"
7,3,13.5,41.6,violation,4345,ARDOCH HOUSE,Glasgow City,CARBETH STREET,0.87,Derelict,Developable - Short Term,Recreation & Leisure,55.882829,-4.257432,2.8,11.2,18.7,False,"https://www.google.com/maps/search/?api=1&query=55.882829,-4.257432"
7,3,13.5,2.1,violation,4291,,Glasgow City,SPRINGFIELD ROAD DALMARNOCK ROAD/,1.25,Vacant Land,Developable - Short Term,Community & Health,55.841813,-4.214754,3.1,14.0,18.8,False,"https://www.google.com/maps/search/?api=1&query=55.841813,-4.214754"
7,3,14.8,11.6,violation,2309,,Glasgow City,MARYHILL LOCKS,0.96,Derelict,Developable - Short Term,Passive Open Space,55.893334,-4.299259,4.8,9.0,20.7,False,"https://www.google.com/maps/search/?api=1&query=55.893334,-4.299259"
7,2,18.3,1.8,violation,3216,,Glasgow City,2127-2131 DUMBARTON ROAD,0.69,Vacant Land,Developable - Medium Term,Residential - Housing,55.885871,-4.373737,8.0,4.4,25.4,True,"https://www.google.com/maps/search/?api=1&query=55.885871,-4.373737"
7,2,17.6,2.2,violation,4110,FMR YOUTH CENTRE,Glasgow City,ESSENSIDE AVE/ DRUMCHAPEL ROAD,0.42,Vacant Land,Developable - Undetermined,Community & Health,55.90663,-4.353773,8.2,6.8,23.7,False,"https://www.google.com/maps/search/?api=1&query=55.906630,-4.353773"
7,2,17.7,0.0,violation,4495,FORMER STONEDYKE PRIMARY SCHOOL,Glasgow City,CLOAN AVENUE,1.68,Derelict,Unknown (uncertain/insufficient information),Education,55.908614,-4.353862,8.4,6.9,23.6,False,"https://www.google.com/maps/search/?api=1&query=55.908614,-4.353862"
7,2,15.6,25.4,violation,3783,ST BENEDICT'S,Glasgow City,WESTERHOUSE ROAD,1.12,Vacant Land,Developable - Short Term,Education,55.86974,-4.120744,8.6,19.6,12.3,False,"https://www.google.com/maps/search/?api=1&query=55.869740,-4.120744"
7,2,18.2,0.0,violation,3662,BROADHOLM P.S.,Glasgow City,LINKWOOD DRIVE,2.32,Vacant Land,Developable - Medium Term,Education,55.911138,-4.36288,9.0,6.7,24.1,False,"https://www.google.com/maps/search/?api=1&query=55.911138,-4.362880"
7,2,18.6,0.9,violation,3611,,Glasgow City,KINFAUNS DRIVE/ AIRGOLD DRIVE.,2.83,Vacant Land,Developable - Medium Term,Residential - Housing,55.916087,-4.370063,9.7,6.9,24.5,False,"https://www.google.com/maps/search/?api=1&query=55.916087,-4.370063"
7,2,16.5,0.1,violation,3971,COMMONHEAD & ST,Glasgow City,COLLETTES P. S. DUNGEONHILL RD / COMMONHEAD RD,2.07,Vacant Land,Developable - Medium Term,Education,55.865835,-4.097948,9.9,21.0,11.7,False,"https://www.google.com/maps/search/?api=1&query=55.865835,-4.097948"
7,2,19.1,0.1,violation,3820,,Glasgow City,5-17 LILLYBURN PLACE,0.72,Vacant Land,Developable - Short Term,Residential - Housing,55.918213,-4.379603,10.3,6.7,25.0,False,"https://www.google.com/maps/search/?api=1&query=55.918213,-4.379603"
7,2,19.2,12.9,violation,3632,,Glasgow City,LILLYBURN PLACE,1.26,Vacant Land,Developable - Short Term,Residential - Housing,55.918116,-4.381326,10.4,6.7,25.2,False,"https://www.google.com/maps/search/?api=1&query=55.918116,-4.381326"
7,2,24.8,0.0,violation,350799,MONTROSE ROAD,Renfrewshire,MONTROSE ROAD PAISLEY (FOXBAR),0.55,Vacant Land,Developable - Medium Term,Residential - Housing,55.823262,-4.466882,13.8,5.2,33.4,False,"https://www.google.com/maps/search/?api=1&query=55.823262,-4.466882"
7,1,25.1,3.2,violation,NL008491235,SITE OF FORMER ST MARY'S RC PRIMARY SCHOOL,North Lanarkshire,GLEN ROAD CALDERCRUIX,1.32,Derelict,Developable - Undetermined,Education,55.891287,-3.892223,23.1,34.0,8.5,False,"https://www.google.com/maps/search/?api=1&query=55.891287,-3.892223"
7,1,25.1,16.3,violation,NL008491901,FORMER ST MARY'S PS PLAYING FIELD (HSG SITE NLMK05,North Lanarkshire,HILL STREET CALDERCRUIX,1.07,Derelict,Developable - Undetermined,Education,55.892048,-3.891813,23.1,34.0,8.5,False,"https://www.google.com/maps/search/?api=1&query=55.892048,-3.891813"
7,1,31.8,1.1,violation,8425392,FORMER RAIL LINE WEST,South Lanarkshire,STATION ROAD STRATHAVEN,2.52,Vacant Land,Uneconomic to Develop/Soft End Use,Transport,55.673294,-4.067669,23.7,31.4,31.1,False,"https://www.google.com/maps/search/?api=1&query=55.673294,-4.067669"
7,1,29.2,0.7,violation,NL008502017,SITE OF FORMER ST BRIGID'S PRIMARY SCHOOL,North Lanarkshire,NEWTON DRIVE NEWMAINS,1.06,Derelict,Developable - Undetermined,Education,55.784102,-3.881696,24.8,35.8,19.4,False,"https://www.google.com/maps/search/?api=1&query=55.784102,-3.881696"
7,1,29.4,0.4,violation,NL008502015,SITE OF FORMER NEWMAINS PS & FAMILY LEARNING CENTR,North Lanarkshire,SCHOOL ROAD NEWMAINS,0.89,Derelict,Developable - Undetermined,Education,55.781134,-3.881266,25.0,35.9,19.7,False,"https://www.google.com/maps/search/?api=1&query=55.781134,-3.881266"
7,1,33.4,2.5,violation,8455314,NETHERBURN PS,South Lanarkshire,DRAFFAN ROAD NETHERBURN,0.42,Vacant Land,Developable - Undetermined,Education,55.705103,-3.912258,27.4,37.3,27.4,False,"https://www.google.com/maps/search/?api=1&query=55.705103,-3.912258"
7,0,55.1,1.3,violation,6132,FORMER ST JOHN'S PRIMARY SCHOOL,East Ayrshire,BARSHARE RD CUMNOCK,0.8,Vacant Land,Developable - Medium Term,Education,55.450777,-4.248877,45.3,47.6,57.9,False,"https://www.google.com/maps/search/?api=1&query=55.450777,-4.248877"
6,3,13.0,21.8,violation,4336,,Glasgow City,WHITEVALE STREET/ BLUEVALE STREET,1.15,Derelict,Developable - Medium Term,Community & Health,55.856018,-4.215515,2.5,13.7,17.8,False,"https://www.google.com/maps/search/?api=1&query=55.856018,-4.215515"
6,3,13.1,2.3,violation,3740,BOWLING GREENS,Glasgow City,GLENCONNER PARK ROYSTON ROAD,0.57,Vacant Land and Buildings,Developable - Undetermined,Recreation & Leisure,55.871689,-4.220148,2.7,13.4,17.1,False,"https://www.google.com/maps/search/?api=1&query=55.871689,-4.220148"
6,2,15.4,9.4,violation,1918,,Glasgow City,N OF PEARCE LANE,1.62,Vacant Land,Developable - Short Term,Unknown,55.86437,-4.311595,3.6,7.6,22.6,False,"https://www.google.com/maps/search/?api=1&query=55.864370,-4.311595"
6,2,15.3,32.7,violation,3959,EASTHALL P.S.,Glasgow City,WELLHOUSE ROAD / GLENBURNIE PLACE / WARE ROAD,0.96,Derelict,Developable - Medium Term,Education,55.863125,-4.128566,8.0,19.1,13.2,False,"https://www.google.com/maps/search/?api=1&query=55.863125,-4.128566"
