FID,local_authority,site_name,site_code,address,datazone,development_potential,east,north,owner_1,owner_2,period,previous_use,site_size,site_type,la_s_code,sh_src,sh_date_uploaded,sh_src_id
pub_vdl.883,Fife,TOWNHILL POWER STATION,DC038,TOWNHILL,S01009325,Unknown (uncertain/insufficient information),310062,689519,Ownership unknown,Ownership unknown,1996-2000,Utility Services,1.32,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2668
pub_vdl.884,Fife,SCHOOL ROW,DC042,CARNOCK ROAD DUNFERMLINE,S01009294,Developable - Short Term,307406,688529,Ownership unknown,Ownership unknown,2001-2004,Unknown,1.26,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2600
pub_vdl.902,Fife,ST COLUMBUS PRIMARY SCHOOL,EF018,SHORT LANE CUPAR,S01009686,Developable - Short Term,337419,714337,Local Authority,Not applicable (i.e. only one owner),2007,Education,0.35,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2480
pub_vdl.903,Fife,CERES MILL,EF019,BY CERES,S01009695,Developable - Undetermined,340570,712395,Other Private,Not applicable (i.e. only one owner),2008,Other General Industry,0.26,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2486
pub_vdl.880,Fife,FERRY TOLL ROAD,DC027,TANK FARM ROSYTH,S01009377,Unknown (uncertain/insufficient information),311295,682176,Ownership unknown,Ownership unknown,1996-2000,Defence,6.05,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2497
pub_vdl.891,Fife,FORMER BT DEPOT,DC068,BY BRAESIDE COTTAGE CROSSFORD,S01009289,Developable - Short Term,307547,687025,Private Telecommunications,Not applicable (i.e. only one owner),1996-2000,Utility Services,0.84,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2623
pub_vdl.881,Fife,FERRY TOLL ROAD,DC027A,TANK FARM ROSYTH,S01009377,Unknown (uncertain/insufficient information),311589,681990,Ownership unknown,Ownership unknown,1996-2000,Defence,14.99,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2567
pub_vdl.882,Fife,DOCKYARD EAST,DC028,ROSYTH,S01009377,Unknown (uncertain/insufficient information),311389,681703,Ownership unknown,Ownership unknown,1996-2000,Nature Conservation,8.05,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2566
pub_vdl.988,Fife,ARMY DEPOT,LAD001,CUPAR ROAD LADYBANK,S01009664,Developable - Undetermined,330078,710393,Other Private,Not applicable (i.e. only one owner),Unknown,Defence,0.95,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2487
pub_vdl.885,Fife,FISHER CAMPUS 2,DC043,ROSYTH EUROPARC ROSYTH,S01009377,Developable - Short Term,310439,682504,Other Private,Not applicable (i.e. only one owner),2001-2004,Defence,1.19,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2595
pub_vdl.886,Fife,MARCONI'S,DC045,DALGETY BAY,S01009403,Developable - Short Term,315658,683908,Ownership unknown,Ownership unknown,2001-2004,Manufacturing,1.39,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2492
pub_vdl.894,Fife,2 MUIRTON WAY,DC071,2 MUIRTON WAY DALGETY BAY,S01009403,Developable - Medium Term,315570,684217,Ownership unknown,Not applicable (i.e. only one owner),2008,Unknown,1.15,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2636
